x,y,z,resultado_esperado
2.943279396147361560e+00,2.151519073945051819e+00,3.904792718771661342e+00,0.000000000000000000e+00
3.887564269007887763e+00,9.318826559200967807e-01,4.204698899846774474e+00,0.000000000000000000e+00
1.470501763079584689e+00,2.911131258722114090e+00,3.464115180003195071e+00,0.000000000000000000e+00
3.112323221828750874e+00,4.836467123781716282e+00,2.112046774283742323e+00,0.000000000000000000e+00
3.635333980463055781e+00,2.954078824708453510e+00,2.170693485730469163e+00,0.000000000000000000e+00
3.182301489846665277e+00,1.441754028476733618e+00,3.982588139600340416e+00,0.000000000000000000e+00
2.001331274575048003e+00,5.122159953474985095e+00,2.917937883782540709e+00,0.000000000000000000e+00
3.124791307335000656e+00,3.472925634715608112e+00,3.811124969228803838e+00,0.000000000000000000e+00
1.812329264512205107e+00,2.267802407038598922e+00,2.795447136288788048e+00,0.000000000000000000e+00
1.358055908222231434e+00,4.549139147262597938e+00,1.736115310753292285e+00,0.000000000000000000e+00
3.776112220951552523e+00,2.972622825149299874e+00,3.876105947922718897e+00,0.000000000000000000e+00
2.304964402381695088e+00,3.831199546327665129e+00,1.563589810427358895e+00,0.000000000000000000e+00
2.308936448818390552e+00,2.949690106277573776e+00,3.026525956101687953e+00,0.000000000000000000e+00
4.403732283836214734e+00,2.354446148406239114e+00,4.490230703504678900e+00,0.000000000000000000e+00
1.957883441919418654e+00,2.888071305156821200e+00,3.613333773172696883e+00,0.000000000000000000e+00
3.004336919221837210e+00,2.864298154806667718e+00,1.807987381253266523e+00,0.000000000000000000e+00
1.322833710034931665e+00,4.364558702378236177e+00,3.145245327345813191e+00,0.000000000000000000e+00
7.406030358317980955e-01,4.152311926917389151e+00,1.143189782551677025e+00,0.000000000000000000e+00
1.818830541181288840e+00,2.662426518740896864e+00,1.920981942067645498e+00,0.000000000000000000e+00
4.621039761287547343e+00,1.060908647451380249e+00,4.461082524803793525e+00,0.000000000000000000e+00
2.093780784229375413e+00,4.406719820549283462e+00,2.693592209166002949e+00,0.000000000000000000e+00
3.198951491028767968e+00,4.321056017296879048e+00,1.898027446737731827e+00,0.000000000000000000e+00
3.462335872933542724e+00,3.092328281216294439e+00,4.038166245259631637e+00,0.000000000000000000e+00
3.123837291080204803e+00,2.435562978800089873e+00,3.883198799844846949e+00,0.000000000000000000e+00
7.017350215318018947e-01,5.271029960948641957e+00,1.626224465964651200e+00,0.000000000000000000e+00
2.360904322794943333e+00,1.898024231483721236e+00,1.313531701333342516e+00,0.000000000000000000e+00
3.995502129743051967e+00,1.136223651678770707e+00,6.006400741191411541e+00,0.000000000000000000e+00
2.317570756127600440e+00,3.908021636027342538e+00,3.038130905262344417e+00,0.000000000000000000e+00
3.493165079456639788e+00,3.279127453629435252e+00,2.321320749921107485e+00,0.000000000000000000e+00
2.035904306473246272e+00,3.057135664824219834e+00,2.927612615085402048e+00,0.000000000000000000e+00
4.762327145449607890e+00,2.818671337167244939e+00,3.176241866313917583e+00,0.000000000000000000e+00
2.889357558212832355e+00,2.809264893086971249e+00,2.994528052442618993e+00,0.000000000000000000e+00
5.341844744441059945e+00,1.758059726732833505e+00,4.315431348002089607e+00,0.000000000000000000e+00
3.886625502927452125e+00,2.007775904466572392e+00,3.595623954883597762e+00,0.000000000000000000e+00
1.518546437950867301e-01,2.826468577397725834e+00,2.836273375994974977e+00,0.000000000000000000e+00
3.732629664077624199e+00,4.034155185222387807e+00,3.122697281819569959e+00,0.000000000000000000e+00
