x,y,z,resultado_esperado1,resultado_esperado2
2.594179197895075450e+00,3.515954348259207940e+00,3.415575625731379183e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.371229370317094798e+00,2.513940058117853482e+00,3.776521041507280518e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.290387076325929527e+00,4.973658069523885672e+00,2.063219160674855779e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.880152306748596569e+00,2.627048621940748951e+00,2.231084648356553846e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.752869599785876087e+00,2.826746852192369541e+00,3.237258181256102318e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.294643380179174130e-01,2.699370810249036357e+00,3.708092032038250885e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.292722759249435249e+00,3.441440650832053638e+00,2.215045349175279732e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.216265675240167932e+00,3.695056293166081751e+00,2.433533454847037980e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.744868478961763447e+00,3.375797487662083096e+00,4.514591632153509337e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.013861799406324593e+00,3.426831526284717988e+00,3.115843907358449627e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.491284888584424095e+00,3.975782971946981714e+00,3.785803425076188056e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.827482330466282612e+00,2.478960626997375183e+00,3.295657310756157532e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.812996623928697426e+00,3.213857399397459069e+00,1.936197392497440273e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.818686059476559258e+00,3.395025881145625757e+00,2.611162914808315971e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.308780804150958765e+00,2.083318789024346529e+00,2.427795359033426692e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.991230901419986932e+00,5.747843813579164518e+00,2.171664066185362785e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.473414500770499291e+00,1.401073453590595097e+00,1.808252415655764667e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.789633940937519263e+00,3.429055640508769986e+00,4.466939824926712710e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.856862998615408600e+00,3.712667285094289227e+00,2.729501837959331656e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.098869367117476514e+00,3.741849726618967420e+00,1.852086623942956090e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.327538180422348724e+00,2.297306039231249208e+00,2.361567577093119041e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.152746156315526793e+00,3.490587589920233214e+00,2.849898027150969071e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.433335463209675975e+00,2.644955705130275447e+00,3.819523018504761058e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.653602714213958436e+00,3.513034261184823315e+00,4.145015686840942237e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.686221423007736142e+00,1.088111696026429875e+00,3.779269481683965815e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.184433726303453893e+00,3.285533923821494007e+00,5.074574049888257221e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.533682126807698776e+00,3.962527552641594841e+00,3.376968702278442702e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.207505681024871436e+00,3.406507584013254597e+00,4.366607905253998112e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.851246956838725310e+00,2.835513192606856858e+00,3.518437209201048965e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.153633677706840110e+00,3.634190256923630180e+00,3.017682027347321050e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.299313906917440420e+00,3.058574154949466717e+00,4.161588448608132040e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.862540684502775434e+00,3.693890618945255611e+00,4.103836275695590174e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.426219907536419029e+00,4.426165056365340966e+00,3.311426532151263480e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.649408247850511877e+00,2.034552647789418245e+00,1.402886138750381484e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.245662200150961851e+00,4.322505135306256463e+00,1.156961413124386828e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.268986368116696184e+00,2.910588231238942392e+00,4.059904431159046645e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.320164308809126830e+00,2.828444883910438801e+00,2.728711047692367053e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.771619151422217264e+00,2.265515677204409606e+00,5.011942316387094642e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.107559473891089219e+00,2.960851195730967778e+00,1.787167409380854721e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.142542663532372771e+00,1.578193423179206523e+00,3.664088619048536444e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.035207748722705823e+00,3.494041371904997195e+00,3.932409736561219837e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.771507958503112823e+00,2.391673154718527261e+00,2.081045090497726235e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.011639755832874688e+00,3.360051944780596767e+00,1.697056809319625215e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.629351358241406977e+00,4.944429555647247732e+00,2.772387089993141984e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.088694851317333345e+00,5.747522865629740352e+00,2.887763107608300128e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.331709552287734688e+00,2.432515928639391589e+00,3.060890012860104203e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.311242535375154450e+00,3.007774587542210831e+00,2.677330993142590820e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.001269277100656607e+00,3.738614596548996083e+00,1.949379052043086480e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.409325101371712297e+00,2.705803601072001019e+00,4.700051749379246857e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.722420735895357158e+00,6.788270236920106449e-01,1.755478200417760481e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.013897594148590819e+00,2.555082245295143384e+00,3.589262344263898452e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.887287689057522755e+00,1.062904687345286980e+00,4.828039543256794630e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.530512191836792546e+00,2.832531118385941404e+00,3.045217798537375842e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.367525902511968816e+00,2.655184132885242132e+00,3.253323884667068455e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.839467370474239694e+00,4.525020021557448757e+00,4.545892901277222897e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.323067999855283894e+00,3.463865843123886012e+00,2.319232558299401337e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.295957556766486274e+00,3.728145580089118560e+00,2.987413281741620796e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.634324980829501062e+00,2.727344472573091316e+00,1.466723603958672628e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.959725828992035623e+00,4.939021214672044913e+00,2.184647200485061447e-01,1.000000000000000000e+00,0.000000000000000000e+00
4.654249729741569475e+00,2.657987144258501466e+00,3.929982631830089446e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.451448646607591098e+00,5.195576116599488259e+00,3.775158245611154317e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.098111595587445644e+00,4.460960597877527967e+00,2.464615102828224380e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.831609471942704293e+00,3.154241904337720115e+00,1.867202614968002106e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.513051634379913413e+00,3.364908817302027177e+00,2.574288881665828477e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.363104753615132836e+00,2.774968334424906757e+00,3.188728969801844393e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.013317593218165946e+00,4.191198827102228464e+00,4.159183439305938812e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.733423267345115315e+00,4.217566793414737170e+00,3.682689148907555943e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.871208997233233973e+00,2.725322748325840649e+00,2.581518190155233317e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.172046600614877310e+00,2.745627468721860254e+00,3.579530457252570130e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.533618901534941070e+00,3.804341565567036731e+00,2.906285204625207008e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.443843109654677104e+00,3.145789136762926486e+00,1.731234338741369783e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.456508452695557843e+00,3.558724688133189762e+00,2.590112438994750299e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.354113137907444475e+00,3.668374952978964210e+00,3.568781484022147676e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.577860401959928272e+00,3.498829025870159981e+00,2.931208207900656504e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.118234065979823555e+00,3.748573622916530290e+00,3.912102999842165474e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.664164564463330276e+00,2.701324469355336433e+00,1.658538921613214701e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.153062889361854637e+00,2.976938758292601239e+00,3.358987876477712575e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.090893941245016485e+00,1.254822160226275019e+00,3.976948462408394835e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.206523361315443132e+00,3.061861903630163084e+00,4.186405463642056901e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.795666440462844626e+00,3.142285387536399188e+00,2.498228488802580749e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.622302741842709839e+00,3.157856403444764481e+00,3.737261083183310184e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.069194785847344065e+00,3.342917847239330165e+00,2.695976635624604878e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.405620039247623687e+00,2.805780253022850612e+00,1.261805627711775069e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.454062168883472062e+00,2.671450270903711122e+00,3.619889149715322496e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.269150436355047873e+00,2.834271925221150568e+00,3.998365385645326953e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.822388537149729704e+00,3.747581620341112529e+00,2.732802517215467297e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.219377789804749312e+00,4.250090985135440924e+00,2.586062588112479244e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.865504054549993462e+00,2.299291933935700527e+00,4.394393838760594306e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.593209798859406057e+00,7.314946000850075514e-01,4.603781756839495642e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.274229050673238994e+00,1.914096329385309714e+00,2.904464041571199751e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.030786627836172809e+00,3.852059270363910493e+00,2.545521497683524093e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.071963452733938560e+00,4.960567767592248600e+00,3.031484642585781764e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.413183256432834156e+00,1.727377487390449051e+00,1.694821563257712382e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.509359048559394623e+00,3.326547401171203955e+00,4.540417048315603665e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.828125438543204417e+00,2.207395148385029593e+00,1.373583062015878431e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.970501551222915815e+00,1.413357776503481267e+00,3.759866985119258320e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.419194823578401543e+00,4.600801209979828776e+00,3.469375197440682790e-01,1.000000000000000000e+00,0.000000000000000000e+00
3.622989883356371621e+00,2.914654100359098887e+00,1.668570877284848875e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.020068844566659916e+00,3.907401999106479895e+00,3.543276299116690176e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.003716603524147821e+00,2.672939035080178272e+00,2.733590912440478693e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.114158880573066490e+01,9.276310762043893376e+00,7.427093066808312827e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000662188855812929e+01,9.986332528609608516e+00,8.922081284987875449e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.008892296129396193e+01,9.672244174826689189e+00,1.007291089179452470e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.087375140620506997e+00,9.820887224304611252e+00,8.128659666185464872e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.009921489000268124e+00,8.285158363675591886e+00,8.491111366077308986e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.634803515708794563e+00,1.116488065675209462e+01,8.563588110979269530e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.326663046359643161e+00,8.004594264382340896e+00,8.881633063972175890e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.303758726546572433e+00,7.100367843257156864e+00,7.732175525693682161e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.526511588724625668e+00,8.662661391808391897e+00,8.868066026658786072e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.918909651046009301e+00,9.319310103179445193e+00,8.890162693460224475e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.426184177245245266e+00,9.332545664948495912e+00,1.021628331313880800e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.446722772151055381e+00,8.165766981975286498e+00,1.087940640742584186e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.034689389443983032e+00,9.538635327615924808e+00,9.765951530138703873e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.916365188250459539e+00,8.932924327931335284e+00,1.030870721584660110e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.902124165335913553e+00,8.061195602174453967e+00,9.328682628089717710e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.319417546672431385e+00,9.611565341447304789e+00,8.957885322657485716e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.075550281188059287e+00,8.592688491653785121e+00,9.727867204596087447e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.119296532149799006e+01,8.247769619058709978e+00,1.003103637040798013e+01,0.000000000000000000e+00,1.000000000000000000e+00
9.678836304801677670e+00,7.444174780745610676e+00,8.717202946529498675e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.371160110889252159e+00,9.795786502463190715e+00,9.523478538996565490e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.009659330317869497e+01,8.188529425491738678e+00,9.325306550398552830e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.054202043450191439e+01,7.875476364065301382e+00,7.530780997982563285e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.424049926122489040e+00,8.925870529230934380e+00,9.085310981647959139e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.713122111443642126e+00,1.093746525741973841e+01,8.602011848264192295e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.599605643917840325e+00,9.527914505293423986e+00,8.677735742164106370e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.906001847564215979e+00,9.560670994844180370e+00,8.429505677164506494e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.673666439349188906e+00,8.583547316035607722e+00,8.905745661567918248e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.102789006115138193e+00,1.055536523416601291e+01,9.396032686186574168e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.191164546412144531e+00,8.990534202756794713e+00,8.572281934004013948e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.538889855740418255e+00,8.084555094853278945e+00,1.010389244425156718e+01,0.000000000000000000e+00,1.000000000000000000e+00
