error,peso1,peso2,peso3,bias
4.000000000000000083e-02,-7.917983762985483787e-02,-8.791059959763611320e-02,-7.073171417182282095e-02,-1.199999999999999817e-01
1.666666666666666644e-02,-7.081356188282691977e-02,-6.384991222214547735e-02,-3.489470455659319376e-02,-8.999999999999999667e-02
1.333333333333333419e-02,-8.967149349475256326e-02,-4.657749508357494211e-02,-1.661247694554117416e-02,-7.000000000000000666e-02
1.333333333333333419e-02,-1.085294251066782067e-01,-2.930507794500440688e-02,1.669750665510852383e-03,-5.000000000000000278e-02
1.333333333333333419e-02,-1.273639998893688063e-01,-2.735483499335218671e-02,2.147024016156712234e-02,-2.999999999999999889e-02
1.666666666666666644e-02,-1.505998389827761796e-01,-1.231647373806079304e-01,-4.296616729385410727e-02,-1.999999999999999695e-02
1.666666666666666644e-02,-1.406562475272158663e-01,-7.962183402262990040e-02,-2.373093199236536721e-03,1.000000000000000368e-02
1.666666666666666644e-02,-1.112329247537094667e-01,-4.027546540020907062e-02,2.964496503197427968e-02,4.000000000000000777e-02
1.000000000000000021e-02,-1.538031500688060715e-01,-4.814244884281707049e-02,1.016198222795350325e-02,5.000000000000000971e-02
1.333333333333333419e-02,-1.726610816807317428e-01,-3.087003170424653525e-02,2.844420983900552979e-02,7.000000000000000666e-02
1.666666666666666644e-02,-1.959202776033741877e-01,-1.113577599045839639e-01,-3.751045950141992935e-02,8.000000000000000167e-02
2.000000000000000042e-02,-1.349879924766391182e-01,-3.039635928041625745e-02,2.160348083262719765e-02,1.199999999999999817e-01
1.000000000000000021e-02,-1.775582177917357229e-01,-3.826334272302425732e-02,2.120498028606421226e-03,1.299999999999999767e-01
1.666666666666666644e-02,-2.008174137143781679e-01,-1.187510709233616929e-01,-6.383417131181903792e-02,1.399999999999999856e-01
2.000000000000000042e-02,-1.398851285876430706e-01,-3.778967029919398646e-02,-4.720230977771910919e-03,1.800000000000000211e-01
1.000000000000000021e-02,-1.824553539027396754e-01,-4.565665374180198632e-02,-2.420321378179268734e-02,1.900000000000000300e-01
