epoca,error,norma_W1,norma_W2
1.000000,109.980259,0.150742,0.151160
2.000000,103.120820,0.200361,0.299823
3.000000,100.266509,0.243363,0.404577
4.000000,99.263323,0.269776,0.471163
5.000000,98.908806,0.284619,0.514338
6.000000,98.739546,0.292660,0.544170
7.000000,98.612739,0.296935,0.566608
8.000000,98.488181,0.299298,0.585079
9.000000,98.356180,0.300882,0.601555
10.000000,98.215560,0.302377,0.617168
11.000000,98.067070,0.304189,0.632570
12.000000,97.911501,0.306543,0.648136
13.000000,97.749233,0.309552,0.664094
14.000000,97.580195,0.313270,0.680591
15.000000,97.403908,0.317718,0.697736
16.000000,97.219549,0.322918,0.715623
17.000000,97.025966,0.328899,0.734350
18.000000,96.821664,0.335709,0.754023
19.000000,96.604742,0.343421,0.774771
20.000000,96.372759,0.352136,0.796745
21.000000,96.122511,0.361994,0.820142
22.000000,95.849648,0.373182,0.845209
23.000000,95.548031,0.385960,0.872277
24.000000,95.208584,0.400699,0.901795
25.000000,94.817152,0.417964,0.934393
26.000000,94.350410,0.438653,0.970966
27.000000,93.768445,0.464240,1.012783
28.000000,93.006040,0.496889,1.061426
29.000000,91.983586,0.538526,1.118225
30.000000,90.665897,0.588969,1.183518
31.000000,89.091254,0.646288,1.256930
32.000000,87.312386,0.708626,1.337977
33.000000,85.364353,0.774768,1.426048
34.000000,83.274107,0.843849,1.520139
35.000000,81.078668,0.914824,1.618754
36.000000,78.839039,0.986233,1.720146
37.000000,76.629380,1.056531,1.822669
38.000000,74.511893,1.124467,1.924963
39.000000,72.525561,1.189189,2.025982
40.000000,70.688976,1.250187,2.124969
41.000000,69.006190,1.307212,2.221403
42.000000,67.471734,1.360205,2.314965
43.000000,66.074443,1.409235,2.405488
44.000000,64.800214,1.454456,2.492926
45.000000,63.633874,1.496075,2.577320
46.000000,62.560358,1.534326,2.658772
47.000000,61.565404,1.569460,2.737422
48.000000,60.635908,1.601725,2.813439
49.000000,59.760075,1.631368,2.887000
50.000000,58.927453,1.658622,2.958289
51.000000,58.128887,1.683712,3.027487
52.000000,57.356460,1.706844,3.094771
53.000000,56.603407,1.728212,3.160307
54.000000,55.864036,1.747995,3.224252
55.000000,55.133635,1.766355,3.286750
56.000000,54.408392,1.783441,3.347935
57.000000,53.685303,1.799387,3.407928
58.000000,52.962083,1.814314,3.466839
59.000000,52.237080,1.828328,3.524766
60.000000,51.509186,1.841526,3.581798
61.000000,50.777757,1.853991,3.638013
62.000000,50.042543,1.865797,3.693480
63.000000,49.303618,1.877007,3.748258
64.000000,48.561326,1.887675,3.802402
