epoca,w1_0,w1_1,w1_2,w1_3,w1_4,w1_5,w1_6,w1_7,w1_8,w2_0,w2_1,w2_2,w2_3,w2_4,w2_5,w2_6,w2_7,w2_8,b1_0,b1_1,b1_2,b2_0,b2_1,b2_2
1.000000,0.022696,0.033984,0.051934,0.091505,0.038533,0.024335,0.000105,0.086939,0.018641,-0.090953,0.011725,0.023744,-0.092882,-0.030553,-0.000948,-0.064857,-0.001235,0.010312,-0.001083,0.000722,-0.001167,-0.133149,-0.125698,-0.091740
2.000000,0.042096,0.050974,0.068865,0.113350,0.058192,0.040121,0.022769,0.106972,0.035019,-0.169941,-0.035889,0.000311,-0.180008,-0.077022,-0.029314,-0.135460,-0.041486,-0.021460,0.000793,0.003543,0.000970,-0.205514,-0.210287,-0.152498
3.000000,0.056031,0.062700,0.084312,0.131293,0.073434,0.055472,0.041425,0.122582,0.050956,-0.224754,-0.063539,-0.011625,-0.237622,-0.103868,-0.044032,-0.184950,-0.063419,-0.039700,0.001605,0.004977,0.002562,-0.236602,-0.267038,-0.192687
4.000000,0.062972,0.068266,0.094531,0.142315,0.082311,0.065171,0.053032,0.131837,0.061219,-0.261026,-0.078370,-0.016404,-0.274695,-0.118223,-0.050434,-0.218181,-0.073201,-0.050100,0.000941,0.004869,0.002888,-0.243436,-0.306656,-0.220536
5.000000,0.065395,0.069825,0.100986,0.148894,0.087107,0.070629,0.060118,0.137029,0.067239,-0.285932,-0.085704,-0.016591,-0.299732,-0.125135,-0.051795,-0.241121,-0.075748,-0.055755,-0.000785,0.003678,0.002211,-0.237073,-0.336197,-0.241389
6.000000,0.065088,0.068930,0.105193,0.152996,0.089598,0.073479,0.064689,0.139939,0.070666,-0.304334,-0.088699,-0.013902,-0.318032,-0.127654,-0.050119,-0.258027,-0.073998,-0.058614,-0.003251,0.001740,0.000816,-0.223500,-0.359777,-0.258332
7.000000,0.063078,0.066503,0.108129,0.155799,0.090876,0.074785,0.067947,0.141662,0.072578,-0.319073,-0.089205,-0.009373,-0.332593,-0.127591,-0.046561,-0.271463,-0.069644,-0.059860,-0.006268,-0.000754,-0.001117,-0.205892,-0.379757,-0.273119
8.000000,0.059945,0.063088,0.110391,0.157990,0.091608,0.075184,0.070594,0.142866,0.073622,-0.331762,-0.088324,-0.003598,-0.345092,-0.126039,-0.041765,-0.282916,-0.063671,-0.060193,-0.009735,-0.003697,-0.003482,-0.185969,-0.397503,-0.286756
9.000000,0.056014,0.059010,0.112342,0.159972,0.092208,0.075053,0.073039,0.143965,0.074179,-0.343318,-0.086725,0.003097,-0.356469,-0.123676,-0.036075,-0.293242,-0.056648,-0.060027,-0.013595,-0.007031,-0.006221,-0.164681,-0.413809,-0.299827
10.000000,0.051462,0.054463,0.114207,0.161974,0.092931,0.074609,0.075515,0.145215,0.074471,-0.354259,-0.084822,0.010538,-0.367250,-0.120930,-0.029670,-0.302935,-0.048906,-0.059610,-0.017821,-0.010725,-0.009300,-0.142559,-0.429134,-0.312684
11.000000,0.046372,0.049549,0.116126,0.164117,0.093920,0.073969,0.078146,0.146759,0.074620,-0.364876,-0.082878,0.018637,-0.377730,-0.118074,-0.022634,-0.312277,-0.040627,-0.059096,-0.022402,-0.014762,-0.012703,-0.119899,-0.443747,-0.325540
