x,y,z,clase
2.156678,3.149608,2.467465,0
2.566471,3.855450,2.274542,0
2.656790,7.551653,2.335268,0
2.695908,4.873808,5.411220,0
6.297486,3.770102,5.209503,0
2.027270,2.432678,2.488153,0
2.021725,2.177527,4.888642,0
2.654778,5.124480,3.621019,0
2.670996,2.333512,3.456474,0
7.565841,2.496403,3.064515,0
2.223818,4.914572,2.878635,0
4.855669,2.390524,2.253451,0
3.350410,2.657520,3.249187,0
3.484416,2.773925,2.250151,0
3.913661,2.056507,3.645081,0
2.090843,5.042422,2.250083,0
3.297134,2.343997,3.050581,0
2.212381,2.335990,2.445436,0
3.399214,2.278234,2.271546,0
3.545344,2.022523,2.502931,0
2.362566,2.684659,2.577773,0
2.253133,2.253236,3.837898,0
2.114443,2.692539,2.253553,0
3.133259,2.978119,2.219254,0
2.051174,2.197567,2.376604,0
2.768442,2.715320,4.160708,0
2.162912,5.963624,3.053576,0
2.856903,3.209677,4.793689,0
3.333133,2.211319,3.336888,0
2.121585,4.440056,3.831844,0
2.816103,2.313601,3.423329,0
2.995695,3.842616,2.499124,0
2.468114,2.735180,2.284768,0
2.599001,6.149399,5.130263,0
3.532058,2.236323,3.551175,0
2.023885,4.366010,3.873659,0
2.792987,2.382887,2.535471,0
2.631467,6.740903,3.406794,0
3.835543,3.204831,2.242595,0
2.096146,2.768665,3.076743,0
3.314452,2.604167,2.061222,0
2.140794,2.303046,2.198990,0
2.550614,2.160929,2.440068,0
3.077882,2.262167,2.042923,0
2.396397,2.275948,3.733497,0
2.019137,3.523267,2.986509,0
2.293093,3.914092,5.594937,0
2.741353,2.262220,2.174176,0
3.317823,2.065899,2.828330,0
3.163793,2.044498,2.114569,0
3.534887,4.716196,2.186186,0
2.282959,2.042419,2.006542,0
2.233780,3.313117,4.660133,0
2.845925,2.113859,4.594785,0
2.679103,3.219375,2.375107,0
3.419210,3.860483,3.466970,0
3.689076,3.632003,2.410643,0
2.143782,4.623406,2.239049,0
2.036751,2.471091,2.174527,0
2.361692,3.066853,2.575563,0
2.397990,3.754192,4.306661,0
3.463317,2.198763,2.895414,0
5.213158,2.804589,2.783500,0
2.014548,5.591434,3.166259,0
2.970607,2.090264,2.002987,0
5.809366,4.878777,5.694474,0
2.728617,3.420317,3.088175,0
2.418036,2.061623,2.612283,0
4.129227,2.727979,5.183920,0
3.684920,3.470165,2.724896,0
2.644298,3.552533,2.297624,0
2.889417,4.331697,4.685954,0
2.121686,2.815937,2.750371,0
4.531363,2.681649,3.642848,0
4.460232,2.223203,2.219670,0
2.865286,4.312308,7.336103,0
3.209443,2.882278,2.727463,0
2.196556,2.802383,3.835898,0
2.525353,3.207625,4.422528,0
3.289216,3.282837,2.650371,0
3.817755,2.386921,2.103299,0
2.455731,3.391771,2.283025,0
2.724458,4.025889,2.516815,0
3.383689,2.499891,3.020864,0
2.105684,3.510125,2.173646,0
2.711392,2.320291,4.978079,0
3.420841,2.727181,2.281568,0
2.304514,4.667126,2.164034,0
2.513771,4.689239,5.565761,0
2.162470,3.129984,2.361021,0
3.798597,2.616153,2.050226,0
4.428106,2.739058,2.352079,0
2.718897,2.447054,3.796931,0
3.221078,2.123606,2.687407,0
2.706226,3.322788,2.171336,0
3.380075,3.020803,2.591829,0
2.124999,2.448817,2.723057,0
4.989294,2.026075,3.759483,0
2.988881,2.029422,3.924129,0
3.541446,2.776473,3.257124,0
8.177697,9.160067,8.402419,1
8.785440,9.701816,8.978042,1
9.189240,8.118352,9.449499,1
8.327932,8.421943,8.378441,1
8.537283,8.498995,8.600661,1
8.057313,8.041537,11.740482,1
9.193995,8.068910,12.048720,1
8.084653,8.090369,10.060970,1
8.382671,8.547328,9.439985,1
8.189117,9.119435,8.468154,1
10.435942,9.337229,8.955008,1
8.136061,8.430894,8.193506,1
8.072440,8.746999,8.112604,1
9.916857,9.673273,8.677692,1
11.095558,8.942178,8.402573,1
8.830121,9.490968,8.908728,1
13.557218,9.757085,8.685257,1
9.694901,8.910210,8.889227,1
8.193152,10.668399,10.186692,1
9.020931,8.442152,9.933755,1
8.190156,8.632719,8.292193,1
8.129067,9.174878,8.521428,1
9.279775,8.544173,10.927359,1
8.047702,9.271012,8.691735,1
9.130922,8.629751,8.723583,1
8.008030,8.736636,9.897137,1
8.139196,8.271664,8.254675,1
9.640628,8.718717,8.594881,1
10.204091,8.426147,8.902009,1
8.023777,8.368341,8.085912,1
8.838361,8.324156,8.111407,1
8.669283,8.318713,8.217243,1
9.645588,8.783343,8.131554,1
9.412312,12.098891,8.986102,1
8.852423,11.364742,8.050345,1
10.955237,8.463464,8.933016,1
10.386351,8.189699,8.273786,1
8.994873,8.456570,8.797123,1
10.205279,8.744004,9.653461,1
9.618157,8.247299,8.763865,1
