epoca,error,norma_W1,norma_W2
1.000000,49.142186,0.237017,0.190404
2.000000,48.737913,0.247807,0.238501
3.000000,48.531526,0.263405,0.287348
4.000000,48.309720,0.281519,0.333699
5.000000,48.019279,0.300380,0.378826
6.000000,47.677199,0.317848,0.423699
7.000000,47.311010,0.332625,0.468674
8.000000,46.931835,0.344599,0.513943
9.000000,46.540715,0.354283,0.559689
10.000000,46.136823,0.362327,0.606067
11.000000,45.720031,0.369284,0.653182
12.000000,45.290908,0.375542,0.701078
13.000000,44.850152,0.381344,0.749761
14.000000,44.398140,0.386825,0.799212
15.000000,43.934773,0.392065,0.849404
16.000000,43.459564,0.397114,0.900311
17.000000,42.971808,0.402012,0.951911
18.000000,42.470734,0.406792,1.004186
19.000000,41.955599,0.411482,1.057120
20.000000,41.425738,0.416106,1.110700
21.000000,40.880601,0.420681,1.164910
22.000000,40.319769,0.425222,1.219735
23.000000,39.742978,0.429739,1.275156
24.000000,39.150134,0.434237,1.331152
25.000000,38.541324,0.438719,1.387698
26.000000,37.916826,0.443189,1.444763
27.000000,37.277108,0.447644,1.502315
28.000000,36.622822,0.452083,1.560316
29.000000,35.954790,0.456505,1.618721
30.000000,35.273991,0.460905,1.677487
31.000000,34.581537,0.465278,1.736562
32.000000,33.878657,0.469621,1.795896
33.000000,33.166671,0.473928,1.855435
34.000000,32.446979,0.478193,1.915124
35.000000,31.721038,0.482410,1.974908
36.000000,30.990357,0.486572,2.034732
37.000000,30.256480,0.490671,2.094541
38.000000,29.520979,0.494701,2.154283
39.000000,28.785441,0.498655,2.213904
40.000000,28.051458,0.502524,2.273354
41.000000,27.320615,0.506302,2.332586
42.000000,26.594469,0.509982,2.391552
43.000000,25.874541,0.513557,2.450208
44.000000,25.162294,0.517021,2.508511
45.000000,24.459116,0.520368,2.566422
46.000000,23.766307,0.523594,2.623902
47.000000,23.085064,0.526694,2.680917
48.000000,22.416471,0.529665,2.737434
49.000000,21.761488,0.532503,2.793421
50.000000,21.120950,0.535208,2.848852
51.000000,20.495559,0.537779,2.903700
52.000000,19.885891,0.540214,2.957944
53.000000,19.292392,0.542515,3.011562
54.000000,18.715387,0.544683,3.064537
55.000000,18.155088,0.546719,3.116853
56.000000,17.611600,0.548627,3.168498
57.000000,17.084930,0.550410,3.219459
58.000000,16.575001,0.552071,3.269729
59.000000,16.081661,0.553614,3.319301
60.000000,15.604691,0.555045,3.368169
61.000000,15.143820,0.556369,3.416331
62.000000,14.698731,0.557591,3.463785
63.000000,14.269072,0.558717,3.510532
64.000000,13.854463,0.559754,3.556572
65.000000,13.454503,0.560709,3.601909
66.000000,13.068776,0.561587,3.646546
67.000000,12.696856,0.562396,3.690488
68.000000,12.338312,0.563143,3.733741
69.000000,11.992711,0.563833,3.776311
70.000000,11.659620,0.564473,3.818207
71.000000,11.338610,0.565070,3.859435
72.000000,11.029257,0.565628,3.900004
73.000000,10.731143,0.566154,3.939923
74.000000,10.443856,0.566652,3.979201
75.000000,10.166995,0.567126,4.017848
76.000000,9.900164,0.567581,4.055873
77.000000,9.642980,0.568020,4.093287
78.000000,9.395068,0.568446,4.130099
79.000000,9.156064,0.568863,4.166320
80.000000,8.925612,0.569271,4.201960
81.000000,8.703371,0.569673,4.237030
82.000000,8.489007,0.570072,4.271539
83.000000,8.282199,0.570467,4.305499
84.000000,8.082638,0.570861,4.338918
85.000000,7.890024,0.571253,4.371809
86.000000,7.704070,0.571645,4.404180
87.000000,7.524499,0.572037,4.436042
88.000000,7.351047,0.572429,4.467404
89.000000,7.183459,0.572822,4.498277
90.000000,7.021492,0.573216,4.528670
91.000000,6.864912,0.573610,4.558593
92.000000,6.713498,0.574005,4.588055
93.000000,6.567035,0.574400,4.617066
94.000000,6.425321,0.574796,4.645634
95.000000,6.288162,0.575192,4.673769
96.000000,6.155373,0.575588,4.701479
97.000000,6.026777,0.575985,4.728773
98.000000,5.902205,0.576381,4.755660
99.000000,5.781497,0.576777,4.782148
100.000000,5.664501,0.577173,4.808245
101.000000,5.551068,0.577568,4.833959
102.000000,5.441061,0.577962,4.859297
103.000000,5.334347,0.578355,4.884269
104.000000,5.230798,0.578748,4.908881
105.000000,5.130294,0.579139,4.933140
106.000000,5.032719,0.579530,4.957054
107.000000,4.937963,0.579919,4.980630
108.000000,4.845921,0.580307,5.003875
109.000000,4.756493,0.580693,5.026795
110.000000,4.669581,0.581078,5.049398
111.000000,4.585095,0.581461,5.071688
112.000000,4.502947,0.581843,5.093674
113.000000,4.423052,0.582223,5.115361
114.000000,4.345332,0.582602,5.136755
115.000000,4.269708,0.582979,5.157861
116.000000,4.196107,0.583354,5.178687
117.000000,4.124460,0.583728,5.199236
118.000000,4.054698,0.584099,5.219515
119.000000,3.986757,0.584470,5.239530
120.000000,3.920575,0.584838,5.259285
121.000000,3.856093,0.585204,5.278785
122.000000,3.793255,0.585569,5.298035
123.000000,3.732004,0.585932,5.317041
124.000000,3.672290,0.586294,5.335807
125.000000,3.614061,0.586653,5.354338
126.000000,3.557271,0.587011,5.372638
127.000000,3.501871,0.587367,5.390711
128.000000,3.447818,0.587722,5.408563
129.000000,3.395069,0.588074,5.426196
130.000000,3.343583,0.588425,5.443616
131.000000,3.293320,0.588775,5.460826
132.000000,3.244243,0.589122,5.477831
133.000000,3.196314,0.589469,5.494634
134.000000,3.149498,0.589813,5.511238
135.000000,3.103763,0.590156,5.527648
136.000000,3.059074,0.590497,5.543868
137.000000,3.015401,0.590836,5.559899
138.000000,2.972713,0.591174,5.575747
139.000000,2.930981,0.591511,5.591415
140.000000,2.890177,0.591846,5.606904
141.000000,2.850274,0.592179,5.622220
142.000000,2.811246,0.592511,5.637365
143.000000,2.773067,0.592842,5.652341
