epoca,w1_0,w1_1,w1_2,w1_3,w1_4,w1_5,w1_6,w1_7,w1_8,w1_9,w1_10,w1_11,w1_12,w1_13,w1_14,w2_0,w2_1,w2_2,w2_3,w2_4,w2_5,w2_6,w2_7,w2_8,w2_9,b1_0,b1_1,b1_2,b1_3,b1_4,b2_0,b2_1
1.000000,0.082156,0.022264,0.085914,0.047986,0.033685,0.060485,0.049092,0.099988,0.063985,-0.010929,0.073364,0.064616,0.087922,0.021045,-0.010131,-0.047900,0.109401,-0.031872,0.066811,-0.030025,0.039821,0.044413,0.059753,0.064508,0.065725,0.000263,0.000659,0.001681,0.001113,-0.000275,-0.030660,0.000735
2.000000,0.088206,0.028658,0.088090,0.044512,0.019817,0.066535,0.055529,0.102182,0.060666,-0.024504,0.079703,0.071194,0.090227,0.017698,-0.023773,-0.084371,0.131576,-0.061461,0.083522,-0.068141,0.062710,0.017003,0.074343,0.062467,0.058352,-0.000579,0.000821,0.002154,0.001783,-0.000642,-0.042554,-0.006347
3.000000,0.093718,0.036805,0.089576,0.044664,0.004598,0.072010,0.063669,0.103673,0.060937,-0.039410,0.085616,0.079600,0.091965,0.018035,-0.038756,-0.112130,0.150425,-0.084903,0.098827,-0.096379,0.081575,-0.001493,0.085102,0.073783,0.041961,-0.002538,0.000319,0.001526,0.002106,-0.000991,-0.042248,-0.018273
4.000000,0.097971,0.044719,0.090297,0.047270,-0.012558,0.076203,0.071544,0.104390,0.063627,-0.056215,0.090364,0.087851,0.093037,0.020866,-0.055705,-0.133830,0.166817,-0.104299,0.113282,-0.117982,0.097659,-0.015084,0.094126,0.095046,0.018088,-0.005496,-0.000930,-0.000033,0.002140,-0.000984,-0.033923,-0.033469
5.000000,0.100966,0.051458,0.090415,0.051378,-0.029521,0.079118,0.078229,0.104494,0.067791,-0.072802,0.093928,0.095004,0.093583,0.025232,-0.072549,-0.151267,0.181258,-0.120657,0.126798,-0.135089,0.111676,-0.026074,0.102517,0.122902,-0.011074,-0.009301,-0.002926,-0.002364,0.001899,-0.000082,-0.020231,-0.051063
6.000000,0.102963,0.056785,0.090150,0.056278,-0.043870,0.081017,0.083494,0.104208,0.072724,-0.086784,0.096556,0.100815,0.093810,0.030420,-0.086925,-0.165771,0.194138,-0.134699,0.139278,-0.149185,0.124108,-0.035770,0.110777,0.154120,-0.042967,-0.013814,-0.005612,-0.005338,0.001374,0.002163,-0.002967,-0.070489
7.000000,0.104271,0.060821,0.089716,0.061458,-0.054746,0.082212,0.087463,0.103741,0.077918,-0.097310,0.098545,0.105399,0.093918,0.035915,-0.097993,-0.178335,0.205828,-0.147057,0.150785,-0.161327,0.135357,-0.044890,0.119106,0.186609,-0.075843,-0.018924,-0.008910,-0.008854,0.000542,0.005920,0.016616,-0.091290
8.000000,0.105158,0.063817,0.089278,0.066555,-0.062520,0.082969,0.090387,0.103258,0.083016,-0.104745,0.100154,0.108995,0.094064,0.041356,-0.106118,-0.189669,0.216670,-0.158253,0.161496,-0.172239,0.145767,-0.053793,0.127552,0.219432,-0.108923,-0.024546,-0.012743,-0.012839,-0.000618,0.011175,0.037664,-0.113072
9.000000,0.105816,0.066028,0.088941,0.071331,-0.067991,0.083480,0.092521,0.102865,0.087780,-0.109861,0.101570,0.111854,0.094348,0.046503,-0.112079,-0.200254,0.226947,-0.168680,0.171619,-0.182401,0.155616,-0.062631,0.136098,0.252288,-0.141978,-0.030621,-0.017052,-0.017239,-0.002125,0.017858,0.059606,-0.135514
10.000000,0.106372,0.067675,0.088761,0.075645,-0.071949,0.083872,0.094084,0.102613,0.092073,-0.113423,0.102916,0.114190,0.094821,0.051215,-0.116644,-0.210404,0.236878,-0.178621,0.181342,-0.192121,0.165113,-0.071454,0.144708,0.285136,-0.174999,-0.037110,-0.021790,-0.022021,-0.003989,0.025904,0.082071,-0.158368
11.000000,0.106899,0.068933,0.088749,0.079433,-0.075017,0.084216,0.095247,0.102515,0.095831,-0.116028,0.104261,0.116172,0.095491,0.055428,-0.120419,-0.220321,0.246621,-0.188268,0.190815,-0.201593,0.174406,-0.080264,0.153345,0.318013,-0.208042,-0.043987,-0.026925,-0.027163,-0.006214,0.035265,0.104821,-0.181454
12.000000,0.107433,0.069928,0.088894,0.082685,-0.077625,0.084546,0.096136,0.102557,0.099045,-0.118079,0.105639,0.117925,0.096345,0.059130,-0.123815,-0.230129,0.256282,-0.197747,0.200144,-0.210936,0.183597,-0.089048,0.161980,0.350970,-0.241164,-0.051235,-0.032434,-0.032651,-0.008799,0.045912,0.127707,-0.204646
13.000000,0.107988,0.070754,0.089168,0.085429,-0.080027,0.084875,0.096842,0.102711,0.101743,-0.119811,0.107061,0.119538,0.097352,0.062349,-0.127074,-0.239904,0.265931,-0.207137,0.209406,-0.220219,0.192750,-0.097794,0.170595,0.384050,-0.274412,-0.058845,-0.038302,-0.038478,-0.011738,0.057830,0.150638,-0.227863
14.000000,0.108567,0.071472,0.089543,0.087713,-0.082359,0.085205,0.097424,0.102947,0.103975,-0.121338,0.108530,0.121071,0.098484,0.065133,-0.130317,-0.249691,0.275613,-0.216490,0.218650,-0.229485,0.201906,-0.106496,0.179184,0.417284,-0.307819,-0.066811,-0.044518,-0.044638,-0.015024,0.071011,0.173555,-0.251048
15.000000,0.109167,0.072124,0.089991,0.089600,-0.084686,0.085533,0.097924,0.103238,0.105801,-0.122706,0.110041,0.122564,0.099711,0.067543,-0.133597,-0.259521,0.285356,-0.225840,0.227909,-0.238762,0.211091,-0.115153,0.187744,0.450696,-0.341410,-0.075130,-0.051075,-0.051129,-0.018649,0.085453,0.196419,-0.274165
16.000000,0.109786,0.072738,0.090492,0.091154,-0.087037,0.085854,0.098366,0.103560,0.107285,-0.123928,0.111590,0.124042,0.101011,0.069643,-0.136933,-0.269414,0.295180,-0.235210,0.237206,-0.248068,0.220323,-0.123771,0.196281,0.484304,-0.375206,-0.083798,-0.057967,-0.057948,-0.022603,0.101156,0.219203,-0.297188
17.000000,0.110420,0.073332,0.091028,0.092439,-0.089428,0.086163,0.098768,0.103896,0.108490,-0.125001,0.113172,0.125522,0.102366,0.071494,-0.140330,-0.279385,0.305098,-0.244619,0.246556,-0.257417,0.229612,-0.132361,0.204803,0.518124,-0.409224,-0.092813,-0.065190,-0.065092,-0.026879,0.118119,0.241883,-0.320096
18.000000,0.111068,0.073917,0.091588,0.093513,-0.091869,0.086457,0.099137,0.104234,0.109471,-0.125920,0.114784,0.127012,0.103763,0.073153,-0.143785,-0.289446,0.315120,-0.254080,0.255972,-0.266820,0.238969,-0.140933,0.213320,0.552170,-0.443479,-0.102172,-0.072739,-0.072559,-0.031468,0.136339,0.264438,-0.342872
19.000000,0.111729,0.074498,0.092164,0.094424,-0.094368,0.086733,0.099480,0.104565,0.110279,-0.126676,0.116423,0.128516,0.105193,0.074669,-0.147297,-0.299607,0.325253,-0.263602,0.265460,-0.276286,0.248400,-0.149500,0.221840,0.586452,-0.477985,-0.111874,-0.080611,-0.080346,-0.036362,0.155813,0.286851,-0.365502
20.000000,0.112400,0.075079,0.092753,0.095215,-0.096931,0.086989,0.099797,0.104882,0.110952,-0.127262,0.118085,0.130037,0.106649,0.076082,-0.150863,-0.309875,0.335502,-0.273194,0.275027,-0.285822,0.257909,-0.158070,0.230371,0.620979,-0.512750,-0.121914,-0.088801,-0.088448,-0.041554,0.176533,0.309105,-0.387972
21.000000,0.113081,0.075662,0.093350,0.095919,-0.099566,0.087223,0.100091,0.105182,0.111523,-0.127673,0.119767,0.131575,0.108127,0.077424,-0.154478,-0.320254,0.345871,-0.282862,0.284676,-0.295432,0.267500,-0.166653,0.238921,0.655756,-0.547783,-0.132289,-0.097306,-0.096864,-0.047037,0.198491,0.331185,-0.410270
22.000000,0.113772,0.076249,0.093953,0.096560,-0.102277,0.087432,0.100360,0.105461,0.112016,-0.127904,0.121468,0.133127,0.109623,0.078718,-0.158139,-0.330748,0.356362,-0.292610,0.294411,-0.305121,0.277175,-0.175255,0.247495,0.690784,-0.583087,-0.142996,-0.106121,-0.105587,-0.052804,0.221671,0.353076,-0.432384
23.000000,0.114472,0.076839,0.094562,0.097158,-0.105067,0.087616,0.100603,0.105717,0.112449,-0.127950,0.123185,0.134693,0.111134,0.079981,-0.161842,-0.341359,0.366975,-0.302440,0.304233,-0.314892,0.286936,-0.183882,0.256098,0.726063,-0.618662,-0.154028,-0.115241,-0.114613,-0.058849,0.246057,0.374764,-0.454300
