x,y,z,clase
5.552934,4.016011,3.658047,0
3.643867,3.183887,0.802436,0
3.121424,3.125112,3.362251,0
3.653501,2.516148,2.202073,0
3.917785,2.221160,3.892332,0
4.543156,1.975647,3.739807,0
2.424696,3.178042,4.332068,0
3.092663,2.210071,1.847444,0
2.102664,2.429279,4.018639,0
3.351204,3.230638,2.633473,0
4.255110,3.903621,3.187230,0
3.785516,1.621307,1.936867,0
3.175222,4.694842,1.519533,0
3.053269,3.065141,2.404679,0
2.111563,2.680980,3.445847,0
4.018724,4.704155,3.502535,0
1.333195,3.383545,3.092879,0
2.033533,2.739918,3.174410,0
0.641349,1.770399,3.275028,0
2.372900,3.685100,3.039525,0
3.632943,2.519672,0.995069,0
3.455596,3.956821,3.563534,0
2.190224,2.972131,1.521263,0
3.488386,4.267406,4.043784,0
3.486829,4.271826,2.137678,0
4.376344,2.070256,2.910757,0
3.710089,1.308066,2.879539,0
1.033004,3.190885,1.389479,0
2.896259,1.789562,2.827423,0
3.123923,3.778922,1.774592,0
2.932668,3.000501,2.559296,0
3.434201,4.044945,3.572999,0
3.228132,2.400823,1.572154,0
3.649630,2.112600,3.851213,0
2.480095,3.699209,2.214099,0
2.184001,2.332752,3.338557,0
2.152004,3.028130,2.177109,0
3.217435,3.324642,1.652353,0
2.908600,1.297504,2.434836,0
1.060336,3.266231,3.210329,0
0.219727,1.657040,4.026271,0
4.317390,3.977111,2.577246,0
4.045930,3.801693,1.602477,0
4.548827,2.651377,3.735336,0
2.384520,3.775064,3.508224,0
2.662374,2.495283,3.921554,0
1.152762,2.171124,4.298760,0
2.419723,4.286095,2.929977,0
2.501511,4.165890,3.823496,0
5.222515,3.368381,2.246050,0
2.861297,2.860625,2.629084,0
3.153129,2.655286,4.011840,0
2.706099,3.545955,3.689227,0
2.280124,2.380512,1.425564,0
2.686757,2.367694,3.672466,0
3.695368,2.969813,2.766271,0
2.250100,1.510535,1.072835,0
3.989985,3.171719,4.266097,0
2.437005,1.374654,1.684908,0
2.537423,4.120694,2.596408,0
1.458809,4.403420,1.410667,0
3.947127,2.519174,1.993213,0
3.251561,4.426494,4.094012,0
2.107661,4.268106,2.461876,0
1.567866,3.393367,2.331918,0
4.259254,2.383594,3.753929,0
3.121811,3.442425,1.852051,0
3.666600,1.817346,1.063893,0
2.963934,2.242582,2.211727,0
4.527386,3.086794,2.405355,0
2.191860,3.363877,3.544892,0
2.238479,3.349722,1.347235,0
4.403127,1.165823,2.110362,0
1.670949,3.614326,4.534033,0
1.524464,2.716883,6.218572,0
2.078642,2.660692,4.637883,0
3.731107,1.711518,3.503862,0
-0.542377,2.512905,0.784755,0
2.736047,2.692674,2.160453,0
